epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,514.575,0.43291,0.30019,0.88143,1,1,0.995,0.94613,0.3603,0.18415,0.8039,0.0002773,0.0002773,0.0002773
75,521.28,0.42974,0.29992,0.88247,1,1,0.995,0.9435,0.3663,0.22266,0.81945,0.0002674,0.0002674,0.0002674
76,528.322,0.43937,0.30218,0.88517,1,1,0.995,0.9101,0.41413,0.20101,0.8233,0.0002575,0.0002575,0.0002575
77,535.185,0.44169,0.3005,0.88205,1,1,0.995,0.92545,0.41442,0.17286,0.82522,0.0002476,0.0002476,0.0002476
78,542.114,0.42291,0.29124,0.87858,1,1,0.995,0.93403,0.35998,0.17748,0.82567,0.0002377,0.0002377,0.0002377
79,548.725,0.41991,0.28494,0.87989,1,1,0.995,0.9435,0.35717,0.18918,0.80988,0.0002278,0.0002278,0.0002278
80,555.338,0.42785,0.29387,0.88772,1,1,0.995,0.9435,0.36721,0.16332,0.80892,0.0002179,0.0002179,0.0002179
81,561.95,0.41401,0.28921,0.88189,1,1,0.995,0.9435,0.38121,0.22897,0.8193,0.000208,0.000208,0.000208
82,568.757,0.41585,0.28588,0.86995,1,1,0.995,0.9435,0.3575,0.1933,0.81553,0.0001981,0.0001981,0.0001981
83,575.403,0.4079,0.29032,0.87464,1,1,0.995,0.9435,0.35149,0.16972,0.81428,0.0001882,0.0001882,0.0001882
84,582.028,0.41188,0.28019,0.87838,1,1,0.995,0.9675,0.32935,0.16779,0.82361,0.0001783,0.0001783,0.0001783
85,588.71,0.4002,0.27835,0.87288,1,1,0.995,0.95243,0.3414,0.1609,0.8104,0.0001684,0.0001684,0.0001684
86,595.337,0.39718,0.27611,0.86855,1,1,0.995,0.9673,0.35233,0.17055,0.80946,0.0001585,0.0001585,0.0001585
87,601.948,0.39054,0.26869,0.86872,1,1,0.995,0.9714,0.32329,0.16708,0.80996,0.0001486,0.0001486,0.0001486
88,608.623,0.40348,0.28252,0.87084,1,1,0.995,0.92745,0.3602,0.17575,0.82307,0.0001387,0.0001387,0.0001387
89,615.246,0.3995,0.27288,0.87407,1,1,0.995,0.92745,0.34903,0.14981,0.80868,0.0001288,0.0001288,0.0001288
90,621.914,0.39342,0.2733,0.8697,1,1,0.995,0.94613,0.30428,0.15292,0.81632,0.0001189,0.0001189,0.0001189
91,649.975,0.31249,0.21237,0.80817,1,1,0.995,0.9673,0.31207,0.15895,0.81219,0.000109,0.000109,0.000109
92,656.54,0.30285,0.20999,0.81217,1,1,0.995,0.94613,0.30941,0.15998,0.81212,9.91e-05,9.91e-05,9.91e-05
93,663.046,0.30131,0.20722,0.80847,1,1,0.995,0.94613,0.33003,0.17093,0.80937,8.92e-05,8.92e-05,8.92e-05
94,669.594,0.29824,0.20512,0.81307,1,1,0.995,0.94613,0.34223,0.1611,0.80929,7.93e-05,7.93e-05,7.93e-05
95,676.326,0.29112,0.20064,0.79771,1,1,0.995,0.94613,0.32928,0.159,0.81182,6.94e-05,6.94e-05,6.94e-05
96,683.021,0.29389,0.20201,0.80335,1,1,0.995,0.9513,0.32203,0.13733,0.80635,5.95e-05,5.95e-05,5.95e-05
97,689.483,0.28628,0.19871,0.80012,1,1,0.995,0.95263,0.32044,0.15506,0.80353,4.96e-05,4.96e-05,4.96e-05
98,696.002,0.28658,0.19971,0.80521,1,1,0.995,0.9573,0.33453,0.16824,0.80883,3.97e-05,3.97e-05,3.97e-05
99,702.54,0.28527,0.19544,0.80307,1,1,0.995,0.9573,0.31602,0.15577,0.80923,2.98e-05,2.98e-05,2.98e-05
100,709.155,0.2782,0.19585,0.80235,1,1,0.995,0.9573,0.3225,0.15448,0.80703,1.99e-05,1.99e-05,1.99e-05
